name	gro-1997
Powys	870
Powys	874
Powys	875
Powys	876
Powys	880
Powys	881
Cardiff	890
Vale of Glamorgan	891
Neath Port Talbot	896
Swansea	897
